Name, Price, Link 
Rebel QC,63.98,https://shop.epictv.co.uk/en/climbing-shoes/ocun/rebel-qc
GeckoGym Men Climbing Shoe,53.97,https://shop.epictv.co.uk/en/climbing-shoes/la-sportiva/geckogym-men-climbing-shoe
Oxi Climbing Shoe,67.71,https://shop.epictv.co.uk/en/climbing-shoes/ocun/oxi-climbing-shoe
Origin Climbing Shoe Last season,46.44,https://shop.epictv.co.uk/en/climbing-shoes/scarpa/origin-climbing-shoe-last-season
Origin Climbing Shoe,63.61,https://shop.epictv.co.uk/en/climbing-shoes/scarpa/origin-climbing-shoe
Crest QC - Last Season's,40.58,https://shop.epictv.co.uk/en/climbing-shoes/ocun/crest-qc-last-seasons
Anasazi VCS Last season,64.93,https://shop.epictv.co.uk/en/climbing-shoes/five-ten/anasazi-vcs-last-season
Crest LU - Last- Season,40.61,https://shop.epictv.co.uk/en/climbing-shoes/ocun/crest-lu-last-season
Strike QC,51.01,https://shop.epictv.co.uk/en/climbing-shoes/ocun/strike-qc
Tarantula Climbing Shoe,62.10,https://shop.epictv.co.uk/en/climbing-shoes/la-sportiva/tarantula-2015
Sensa Pro Climbing Shoe,63.44,https://shop.epictv.co.uk/en/climbing-shoes/butora/sensa-pro-climbing-shoe
Wall Master,46.53,https://shop.epictv.co.uk/en/climbing-shoes/five-ten/wall-master
Strike LU,50.93,https://shop.epictv.co.uk/en/climbing-shoes/ocun/strike-lu
Remora,67.67,https://shop.epictv.co.uk/en/climbing-shoes/mad-rock/remora
Momentum Climbing Shoe,68.09,https://shop.epictv.co.uk/en/climbing-shoes/black-diamond/momentum-climbing-shoe
Guardian 2.0,67.65,https://shop.epictv.co.uk/en/climbing-shoes/eb/guardian-20
Ozone Plus,59.91,https://shop.epictv.co.uk/en/climbing-shoes/ocun/ozone-plus
Drifter,50.01,https://shop.epictv.co.uk/en/climbing-shoes/mad-rock/drifter
Crest QC Climbing Shoe,59.79,https://shop.epictv.co.uk/en/climbing-shoes/ocun/crest-qc
Tarantulace,67.46,https://shop.epictv.co.uk/en/climbing-shoes/la-sportiva/tarantulace-2015
Gambit VCS Climbing Shoe,56.50,https://shop.epictv.co.uk/en/climbing-shoes/five-ten/gambit-vcs-climbing-shoe
Neo Climbing Shoe,32.10,https://shop.epictv.co.uk/en/climbing-shoes/eb/neo-climbing-shoe
Piki Climbing Shoes,35.00,https://shop.epictv.co.uk/en/climbing-shoes/scarpa/piki-climbing-shoes
JETT LU,68.21,https://shop.epictv.co.uk/en/climbing-shoes/ocun/jett-lu
NEAT,48.85,https://shop.epictv.co.uk/en/climbing-shoes/butora/neat
Cyclone,69.37,https://shop.epictv.co.uk/en/climbing-shoes/edelrid/cyclone
Crest LU Climbing Shoe,59.79,https://shop.epictv.co.uk/en/climbing-shoes/ocun/crest-lu-climbing-shoe
M5 Climbing Shoe,65.09,https://shop.epictv.co.uk/en/climbing-shoes/mad-rock/m5-climbing-shoe
Verdon Lace,58.93,https://shop.epictv.co.uk/en/climbing-shoes/five-ten/verdon-2015
Torch Lace Climbing Shoe,35.66,https://shop.epictv.co.uk/en/climbing-shoes/eb/torch-lace-climbing-shoe
Weaver Climbing Shoe,60.73,https://shop.epictv.co.uk/en/climbing-shoes/mad-rock/weaver-climbing-shoe
Habara Climbing Shoe,64.58,https://shop.epictv.co.uk/en/climbing-shoes/butora/habara-climbing-shoe
Circuit VCR Climbing Shoe,67.56,https://shop.epictv.co.uk/en/climbing-shoes/red-chili/circuit-vcr-climbing-shoe
